"","PAN","PC do B","PCB","PCO","PDT","PFL","PGT","PHS","PL","PMDB","PMN","PPB","PPS","PRONA","PRP","PRTB","PSB","PSC","PSD","PSDB","PSDC","PSL","PST","PSTU","PT","PT do B","PTB","PTC","PTN","PV"
"PAN",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC do B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCO",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDT",3,0,0,0,3,0,0,0,0,0,0,3,4,0,1,1,0,0,1,0,0,2,0,0,0,2,5,0,2,0
"PFL",2,0,0,0,1,1,0,2,1,2,0,5,1,1,3,3,0,2,4,4,3,2,5,0,0,2,1,0,1,1
"PGT",0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,2,0,0
"PHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PL",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PMDB",0,0,0,0,0,4,0,2,0,7,0,3,0,0,1,0,0,1,1,6,1,1,3,0,0,0,0,0,0,0
"PMN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPB",1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,2,0,0,2,1,1,3,0
"PPS",2,0,0,0,5,3,0,2,0,0,0,1,0,1,2,1,0,2,2,0,3,2,0,0,0,2,3,0,2,3
"PRONA",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRTB",0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"PSB",4,0,0,0,0,0,10,7,0,0,0,2,0,3,5,2,6,6,3,0,2,4,3,0,0,5,0,7,1,4
"PSC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"PSD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"PSDB",3,0,0,0,0,7,0,2,0,5,0,5,0,1,2,5,0,1,5,2,2,3,3,0,0,1,0,0,2,5
"PSDC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"PSL",1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,3,1,0,1,1,0,0,1,0
"PST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"PSTU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"PT",1,24,14,0,0,0,0,2,17,0,20,0,0,1,0,1,0,3,1,0,2,1,3,0,0,4,0,0,3,4
"PT do B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTB",1,0,0,0,6,2,0,1,0,0,0,2,5,0,1,0,0,0,0,0,1,1,2,0,0,1,1,0,1,1
"PTC",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,1,0,5,0,0
"PTN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1
"PV",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3
